,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
0,1,2024-06-01 00:03:46,2024-06-01 00:31:23,1.0,12.5,1.0,N,138,195,1,48.5,7.75,0.5,11.55,0.0,1.0,69.3,0.0,1.75
1,2,2024-06-01 00:55:22,2024-06-01 01:08:24,1.0,4.34,1.0,N,138,7,1,20.5,6.0,0.5,8.4,0.0,1.0,38.15,0.0,1.75
2,1,2024-06-01 00:23:53,2024-06-01 00:32:35,1.0,1.3,1.0,N,166,41,1,10.0,1.0,0.5,3.1,0.0,1.0,15.6,0.0,0.0
3,1,2024-06-01 00:32:24,2024-06-01 00:40:06,1.0,1.2,1.0,N,148,114,1,8.6,3.5,0.5,0.2,0.0,1.0,13.8,2.5,0.0
4,1,2024-06-01 00:51:38,2024-06-01 00:58:17,1.0,1.0,1.0,N,148,249,1,7.2,3.5,0.5,2.0,0.0,1.0,14.2,2.5,0.0
